population,bodyId,type,class,subclass,superclass,somaSide,rootSide,side_for_registry,instance
visual_R8d,244866,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,287685,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,333247,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,354642,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,386786,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,391278,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,468158,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500017,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500021,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500028,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500041,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500182,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500245,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,500289,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,508737,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,733559283,R8d,visual,,ol_sensory,,R,R,R8d_R
visual_R8d,983968288,R8d,visual,,ol_sensory,,R,R,R8d_R
