experiment,scenario,fly_id,timestamp_s,nearest_horizontal_distance_m
A_OFF,off,fly-a,0.5416666666666666,0.0
A_OFF,off,fly-b,0.5416666666666666,0.0
A_OFF,off,fly-a,0.55,0.0
A_OFF,off,fly-b,0.55,0.0
A_OFF,off,fly-a,0.5583333333333333,0.0
A_OFF,off,fly-b,0.5583333333333333,0.0
A_OFF,off,fly-a,0.5666666666666667,0.0
A_OFF,off,fly-b,0.5666666666666667,0.0
A_OFF,off,fly-a,0.575,0.0
A_OFF,off,fly-b,0.575,0.0
A_OFF,off,fly-a,0.5833333333333334,0.0
A_OFF,off,fly-b,0.5833333333333334,0.0
A_OFF,off,fly-a,0.5916666666666667,0.0
A_OFF,off,fly-b,0.5916666666666667,0.0
A_OFF,off,fly-a,0.6,0.0
A_OFF,off,fly-b,0.6,0.0
A_OFF,off,fly-a,0.6083333333333333,0.0
A_OFF,off,fly-b,0.6083333333333333,0.0
A_OFF,off,fly-a,0.6166666666666667,0.0
A_OFF,off,fly-b,0.6166666666666667,0.0
A_OFF,off,fly-a,0.625,0.0
A_OFF,off,fly-b,0.625,0.0
A_OFF,off,fly-a,0.6333333333333333,0.0
A_OFF,off,fly-b,0.6333333333333333,0.0
A_OFF,off,fly-a,0.6416666666666666,0.0
A_OFF,off,fly-b,0.6416666666666666,0.0
A_OFF,off,fly-a,0.65,0.0
A_OFF,off,fly-b,0.65,0.0
A_OFF,off,fly-a,0.6583333333333333,0.0
A_OFF,off,fly-b,0.6583333333333333,0.0
A_OFF,off,fly-a,0.6666666666666666,0.0
A_OFF,off,fly-b,0.6666666666666666,0.0
A_OFF,off,fly-a,0.675,0.0
A_OFF,off,fly-b,0.675,0.0
A_OFF,off,fly-a,0.6833333333333333,0.0
A_OFF,off,fly-b,0.6833333333333333,0.0
A_OFF,off,fly-a,0.6916666666666667,0.0
A_OFF,off,fly-b,0.6916666666666667,0.0
A_OFF,off,fly-a,0.7,0.0
A_OFF,off,fly-b,0.7,0.0
A_OFF,off,fly-a,0.7083333333333334,0.0
A_OFF,off,fly-b,0.7083333333333334,0.0
A_OFF,off,fly-a,0.7166666666666667,0.0
A_OFF,off,fly-b,0.7166666666666667,0.0
A_OFF,off,fly-a,0.725,0.0
A_OFF,off,fly-b,0.725,0.0
A_OFF,off,fly-a,0.7333333333333333,0.0
A_OFF,off,fly-b,0.7333333333333333,0.0
A_OFF,off,fly-a,0.7416666666666667,0.0
A_OFF,off,fly-b,0.7416666666666667,0.0
A_OFF,off,fly-a,0.75,0.0
A_OFF,off,fly-b,0.75,0.0
A_OFF,off,fly-a,0.7583333333333333,0.0
A_OFF,off,fly-b,0.7583333333333333,0.0
A_OFF,off,fly-a,0.7666666666666666,0.0
